address,name,account_type,type
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,eoa,Exchange
0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,eoa,Exchange
0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,Artis Turba Exchange 1,eoa,Exchange
0x94597850916a49b3b152ee374e97260b99249f5b,Artis Turba Exchange 2,eoa,Exchange
0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,BTC Markets,eoa,Exchange
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,eoa,Exchange
0xcf1cc6ed5b653def7417e3fa93992c3ffe49139b,Bancor Relay?,contract,Exchange
0xb626a5facc4de1c813f5293ec3be31979f1d1c78,BancorConverter,contract,Exchange
0xc6725ae749677f21e4d8f85f41cfb6de49b9db29,BancorConverter_3,contract,Exchange
0xc0829421c1d260bd3cb3e0f06cfe2d52db2ce315,BancorEtherToken_2,contract,Exchange
0xf20b9e713a33f61fa38792d2afaf1cd30339126a,BancorNetwork,contract,Exchange
0xf87a7ec94884f44d9de33d36b73f42c7c0dd38b1,BancorQuickConverter,contract,Exchange
0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,eoa,Exchange
0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo 1,eoa,Exchange
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo 2,eoa,Exchange
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,eoa,Exchange
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,eoa,Exchange
0x17bc58b788808dab201a9a90817ff3c168bf3d61,BigOne!?,eoa,Exchange
0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,Biki.com,eoa,Exchange
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy,eoa,Exchange
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance 1,eoa,Exchange
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,eoa,Exchange
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,eoa,Exchange
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,eoa,Exchange
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,eoa,Exchange
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,eoa,Exchange
